month,n_active_customers,n_new_customers,n_churned_customers,mrr,arr,new_mrr,expansion_mrr,churned_mrr,nrr,monthly_churn_rate,ltv_cac,cac_payback_months,mrr_growth_mom,avg_nps,mrr_yoy_growth_pct,rule_of_40,rag_churn,rag_ltv_cac,rag_cac_payback,rag_nrr,rag_rule_of_40,rag_mrr_growth,insights
2023-10-01,387,34,23,192142.27,2305707.24,12499.8,8704.19,8211.5,1.0026,0.0612,7.58,2.2,0.0228,42.1,111.48,161.5,Red,Green,Green,Amber,Green,Amber,"MRR grew 2.3% MoM — stable but below high-growth benchmark (>5%). | NRR 100% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.6x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 162 — passes benchmark; strong growth-efficiency balance."
2023-11-01,397,27,17,196242.98,2354915.76,7448.76,9142.76,3348.05,1.0302,0.0439,10.47,2.9,0.0213,42.2,97.56,147.6,Amber,Green,Green,Amber,Green,Amber,"MRR grew 2.1% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.5x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition. | Rule of 40: 148 — passes benchmark; strong growth-efficiency balance."
2023-12-01,392,24,29,195283.05,2343396.6,8496.68,9110.83,9456.61,0.9982,0.073,6.32,2.1,-0.0049,42.5,79.36,129.4,Red,Green,Green,Red,Green,Red,MRR declined 0.5% MoM — requires immediate attention. | NRR 100% — churn is outpacing expansion; at-risk revenue base. | LTV:CAC 6.3x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 129 — passes benchmark; strong growth-efficiency balance.
2024-01-01,406,27,13,204074.78,2448897.36,10391.64,9404.01,1599.91,1.04,0.0332,13.97,2.2,0.045,42.4,70.59,120.6,Amber,Green,Green,Amber,Green,Amber,"MRR grew 4.5% MoM — stable but below high-growth benchmark (>5%). | NRR 104% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 14.0x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 121 — passes benchmark; strong growth-efficiency balance."
2024-02-01,425,37,18,213936.32,2567235.84,15681.06,9790.53,5819.52,1.0195,0.0443,10.32,2.5,0.0483,42.5,75.21,125.2,Amber,Green,Green,Amber,Green,Amber,"MRR grew 4.8% MoM — stable but below high-growth benchmark (>5%). | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.3x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 125 — passes benchmark; strong growth-efficiency balance."
2024-03-01,433,28,20,219149.12,2629789.44,12939.57,10233.88,7726.77,1.0117,0.0471,9.62,2.4,0.0244,42.5,64.72,114.7,Amber,Green,Green,Amber,Green,Amber,"MRR grew 2.4% MoM — stable but below high-growth benchmark (>5%). | NRR 101% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.6x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 115 — passes benchmark; strong growth-efficiency balance."
2024-04-01,445,30,18,216356.67,2596280.04,7671.78,10364.31,10464.23,0.9995,0.0416,10.78,2.5,-0.0127,42.5,55.67,105.7,Amber,Green,Green,Red,Green,Red,MRR declined 1.3% MoM — requires immediate attention. | NRR 100% — churn is outpacing expansion; at-risk revenue base. | LTV:CAC 10.8x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 106 — passes benchmark; strong growth-efficiency balance.
2024-05-01,456,32,21,228378.61,2740543.32,16378.43,10544.6,4356.49,1.0286,0.0472,9.51,2.2,0.0556,42.7,61.34,111.3,Amber,Green,Green,Amber,Green,Green,"MRR grew 5.6% MoM — strong top-line momentum. | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.5x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 111 — passes benchmark; strong growth-efficiency balance."
2024-06-01,474,37,19,239778.33,2877339.96,18342.52,11309.33,6942.8,1.0191,0.0417,10.82,2.1,0.0499,42.7,53.48,103.5,Amber,Green,Green,Amber,Green,Amber,"MRR grew 5.0% MoM — stable but below high-growth benchmark (>5%). | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 10.8x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 104 — passes benchmark; strong growth-efficiency balance."
2024-07-01,466,19,27,232916.97,2795003.64,4820.83,11400.76,11682.19,0.9988,0.057,7.88,3.0,-0.0286,42.7,38.19,88.2,Red,Green,Green,Red,Green,Red,MRR declined 2.9% MoM — requires immediate attention. | NRR 100% — churn is outpacing expansion; at-risk revenue base. | LTV:CAC 7.9x — above the 3x benchmark; healthy unit economics. | CAC payback 3 months — capital-efficient acquisition. | Rule of 40: 88 — passes benchmark; strong growth-efficiency balance.
2024-08-01,453,20,33,237044.06,2844528.72,8481.08,11416.07,4353.99,1.0303,0.0708,6.37,2.3,0.0177,43.0,37.6,87.6,Red,Green,Green,Amber,Green,Amber,"MRR grew 1.8% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 6.4x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 88 — passes benchmark; strong growth-efficiency balance."
2024-09-01,451,25,27,240786.42,2889437.04,10557.32,11523.64,6814.96,1.0199,0.0596,7.57,2.4,0.0158,43.1,28.18,78.2,Red,Green,Green,Amber,Green,Amber,"MRR grew 1.6% MoM — stable but below high-growth benchmark (>5%). | NRR 102% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.6x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 78 — passes benchmark; strong growth-efficiency balance."
2024-10-01,468,38,21,246214.39,2954572.68,10925.0,11743.4,5497.03,1.0259,0.0466,9.69,2.2,0.0225,43.2,28.14,78.1,Amber,Green,Green,Amber,Green,Amber,"MRR grew 2.2% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 9.7x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 78 — passes benchmark; strong growth-efficiency balance."
2024-11-01,463,22,27,248246.09,2978953.08,10470.1,11967.31,8438.4,1.0143,0.0577,7.83,2.1,0.0083,43.3,26.5,76.5,Red,Green,Green,Amber,Green,Amber,"MRR grew 0.8% MoM — stable but below high-growth benchmark (>5%). | NRR 101% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 7.8x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 76 — passes benchmark; strong growth-efficiency balance."
2024-12-01,470,26,19,250143.49,3001721.88,7230.54,12332.66,5333.14,1.0282,0.041,11.07,2.2,0.0076,43.2,28.09,78.1,Amber,Green,Green,Amber,Green,Amber,"MRR grew 0.8% MoM — stable but below high-growth benchmark (>5%). | NRR 103% — revenue retained, but expansion is below best-in-class (>110%). | LTV:CAC 11.1x — above the 3x benchmark; healthy unit economics. | CAC payback 2 months — capital-efficient acquisition. | Rule of 40: 78 — passes benchmark; strong growth-efficiency balance."
